Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,30,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""DestinationDirectory""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,835,8,T:System.Windows.Media.DrawingBrush,,,,,NotifyPropertyChanged(nameof(BackgroundDrawingBrush));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,776,12,T:System.Windows.Media.DrawingBrush,,,,,NotifyPropertyChanged(nameof(BackgroundDrawingBrush));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,731,16,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Properties.Settings.Default.Save();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,713,12,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Properties.Settings.Default.Save();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,698,12,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Properties.Settings.Default.Save();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,683,12,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Properties.Settings.Default.Save();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,668,12,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Properties.Settings.Default.Save();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,525,12,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Properties.Settings.Default.Save();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\ViewModels\MainWindowViewModel.cs,416,8,T:System.Windows.Media.DrawingBrush,,,,,get          {              if (Images is null || Images.Count == 0 || Images.Any(x => x.Thumbnail is null))              {                  return new DrawingBrush(Core.Draw.WelcomeText(Core.MyApplication.DpiScale));              }              else              {                  return null;              }          }
